nome;latitude;lonxitude;comentario
A de Maruja;43.32641121322712;-8.43225708465941;Pizzas, bocadillos, hamburguesas, pratos e postres elaborados cos mellores ingredientes e moito mimo, para remates coma un pepe!
La Favola;43.36110402821105;-8.41688016931882;Restaurante de cocina italiana especializado en pastas frescas y pizzas, con menú diario y ambiente familiar
Hotel Rías Altas;43.57555283562806;-7.223425777880923;O mellor cachopo de España 2021 e non está en Asturias
